contract_id,clause,risk_level,risk_type,预分类,人工裁决,备注,复核裁决,复核备注
C13,第七条 房屋设施因自然损耗发生故障的，由甲方负责维修；因乙方使用不当损坏的，由乙方负责修复或赔偿。甲方应在收到报修通知后5日内安排维修。,medium,维修救济缺失,待人工,过度预警,标准维修条款,低风险/过度预警,
C13,第二条 租赁期满，本合同终止；乙方需继续承租的，应提前30日向甲方提出，双方另行签订续租合同。,low,续租条款不完整,待人工,过度预警,标准续租条款,低风险/过度预警,
C13,第一条 甲方保证房屋权属清晰，具备出租条件。,low,权属证明缺失,待人工,过度预警,条款已含权属保证,低风险/过度预警,
C14,乙方违反本合同其他约定给甲方造成损失的，应承担赔偿责任。甲方无正当理由提前收回房屋的，应退还剩余租金及押金。,high,违约责任不对等,待人工,过度预警,无正当理由收回已约定退还租金押金，属常见模板,低风险/过度预警,
C14,租赁期满，乙方结清各项费用、返还房屋并经甲方验收无损坏的，押金全额无息退还。,medium,押金返还条款不明确,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C14,月租金为4600元（大写：肆仟陆佰元整），乙方按季度支付，应于每季度首月5日前支付当季租金。,medium,租金支付期限约定不明,待人工,过度预警,标准租金支付约定,低风险/过度预警,
C14,房屋及附属设施因自然损耗或质量问题发生故障的，由甲方负责维修并承担费用；因乙方使用不当造成损坏的，由乙方负责修复或赔偿。甲方应在收到报修通知后5日内安排维修。,medium,维修责任与救济不明确,待人工,过度预警,标准维修条款,低风险/过度预警,
C14,乙方返还房屋时参照交接清单办理，并结清各项应付费用。,medium,退租交接条款不完善,待人工,过度预警,标准退租交接条款,低风险/过度预警,
C14,甲方（签章）：华某某 2026年11月　日,low,签署日期空白,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C15,第十一条 违约责任：乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。,high,违约金过高及违约责任不对等,待人工,过度预警,0.5%/日属常见约定未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C15,第四条 押金：租赁期满，乙方结清各项费用、返还房屋并经甲方验收无损坏的，押金予以退还。,medium,押金返还条件不明确,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C15,第十条 合同解除与责任：乙方确需提前退租的，应提前30日书面通知甲方，并按实际居住天数结算租金。,medium,提前退租责任不明确,待人工,过度预警,标准提前退租条款,低风险/过度预警,
C15,第八条 维修责任：甲方应在收到报修通知后5日内安排维修。,medium,维修责任履行保障不足,待人工,过度预警,标准维修条款,低风险/过度预警,
C15,第七条 费用承担：租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。供暖费由甲方承担。,medium,费用承担范围不完整,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C15,第一条 房屋基本情况：甲方将位于某某市某某区梧桐街27号5号楼2单元602室的房屋出租给乙方使用。,high,房屋权属及出租权限不明,待人工,过度预警,仅房屋坐落表述，无异常,中风险合理发现,中风险：仅写房屋坐落，权属未核实
C15,第二条 租赁期限：租赁期满，乙方需要续租的，应提前30日向甲方提出，双方协商签订续租合同。,low,续租权不明确,待人工,过度预警,标准续租条款,低风险/过度预警,
C15,第五条 房屋交付：甲方应于2026年10月5日前将房屋及附属设施以适租状态交付乙方，双方共同查验房屋状况及屋内物品，填写交接清单并签字确认。,medium,甲方逾期交付违约责任缺失,待人工,过度预警,标准交付与交接条款,低风险/过度预警,
C15,第十一条 违约责任：逾期超过15日的，甲方有权解除合同并收回房屋。,medium,解除后果及腾退责任不完整,待人工,过度预警,属常见违约解除约定,低风险/过度预警,
C15,第十三条 附则：本合同一式两份，甲乙双方各执一份，自双方签字（盖章）之日起生效。甲方（签章）：苗某某 2026年9月　日,low,签署日期不完整,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C15,第三条 租金及支付方式：月租金为3100元，乙方按季度支付，应于每季度首月5日前支付当季租金。支付方式为银行转账至甲方指定账户。,low,支付账户及首期租金约定不明,待人工,过度预警,标准租金支付约定,低风险/过度预警,
C16,乙方损坏屋内设施的，按设施价值的三倍赔偿。,high,惩罚性赔偿过高,待人工,合理发现,实为埋点命中（三倍赔偿），引用片段致匹配失败,高风险合理发现,
C16,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。,high,逾期违约金过高,重复报告-首条,过度预警,0.5%/日属常见约定未超标,重复报告-首条,重复首条（实质中风险，建议复核）
C16,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。,high,违约责任不对等,重复报告,重复报告,与第2条条款文本完全相同,重复报告,
C16,租赁期满，乙方结清各项费用、返还房屋并经甲方验收无损坏的，押金予以退还。,medium,押金退还条款不明确,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C16,租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。供暖费由甲方承担。,medium,费用承担范围不完整,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C16,乙方确需提前解除合同的，应提前30日书面通知甲方，并按实际居住天数结算租金。,medium,合同解除权不对等及租金结算不明,待人工,过度预警,标准提前解除条款,低风险/过度预警,
C16,甲方保证房屋权属清晰，具备出租条件。,low,权属证明及共有人同意缺失,待人工,过度预警,条款已含权属保证,低风险/过度预警,
C16,甲方应于2026年10月1日前将房屋及附属设施以适租状态交付乙方，双方共同查验房屋状况及屋内物品，填写交接清单并签字确认。退租时乙方参照交接清单返还房屋。,medium,退租验收程序不明确,待人工,过度预警,标准交付与退租条款,低风险/过度预警,
C16,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。,medium,解除合同前未设催告程序,重复报告,重复报告,与第2条条款文本完全相同,重复报告,
C16,双方在本合同首部填写的联系方式为有效联系方式，一方发出的通知到达该联系方式即视为送达，联系方式变更的应及时告知对方。,low,通知送达条款可能加重乙方责任,待人工,过度预警,标准通知送达条款,低风险/过度预警,
C17,月租金为2700元（大写：贰仟柒佰元整），乙方按季度支付，应于每季度首月5日前支付当季租金。,medium,租金支付时间不明确,待人工,过度预警,标准租金支付约定,低风险/过度预警,
C17,乙方于本合同签订时向甲方支付押金2700元（大写：贰仟柒佰元整）。租赁期满，乙方结清各项费用、返还房屋并经甲方验收无损坏的，押金予以退还。,medium,押金返还条款不明确,待人工,过度预警,常见押金退还表述,低风险/过度预警,
C17,租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。供暖费由甲方承担。,low,费用承担范围不完整,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C17,甲方应于2026年10月12日前将房屋及附属设施以适租状态交付乙方，双方共同查验房屋状况及屋内物品，填写交接清单并签字确认。,medium,甲方逾期交付违约责任缺失,待人工,过度预警,标准交付与交接条款,低风险/过度预警,
C17,房屋及附属设施因自然损耗或质量问题发生故障的，由甲方负责维修并承担费用；因乙方使用不当造成损坏的，由乙方负责修复或赔偿。甲方应在收到报修通知后5日内安排维修。,medium,维修责任履行保障不足,待人工,过度预警,标准维修条款,低风险/过度预警,
C17,合同终止后乙方须将墙面重新粉刷恢复原状，否则押金不予退还。,high,退租恢复原状义务过重,待人工,合理发现,实为埋点命中（粉刷否则押金不退），引用片段致匹配失败,高风险合理发现,
C17,乙方确需提前解除合同的，应提前30日书面通知甲方。,medium,提前退租责任不明确,待人工,过度预警,标准提前解除条款,低风险/过度预警,
C17,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。,high,违约金过高且违约责任不对等,待人工,过度预警,0.5%/日属常见约定未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C17,租赁期满，乙方需要续租的，应提前30日向甲方提出，双方协商签订续租合同。,medium,续租条款未保障优先承租权,待人工,过度预警,标准续租条款,低风险/过度预警,
C17,甲方保证房屋权属清晰，具备出租条件。,low,权属保证不充分,待人工,过度预警,条款已含权属保证,低风险/过度预警,
C17,甲方应尊重乙方的合理居住需要，不得无故干涉乙方正常生活。,low,出租人进入房屋条件不明确,待人工,过度预警,不干涉正常生活属有利条款,低风险/过度预警,
C17,甲方（签章）：戚某某 2026年10月　日 乙方（签章）：单某某 2026年10月　日,low,签署日期不完整,日期空位,过度预警,日期空位属填写完整性提示,填写完整性提醒,填写完整性提醒，非实质法律风险
C17,乙方不得擅自将房屋转租、转借给第三人。经甲方书面同意后方可转租。,low,转租同意权未受限制,待人工,过度预警,转租须书面同意属正常约定,低风险/过度预警,
C18,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。乙方违反合同约定使用房屋的，甲方有权要求乙方限期改正。,high,违约责任不对等,待人工,过度预警,0.5%/日属常见约定未超标,中风险合理发现,中风险：0.5%/日年化约182.5%，显著高于司法保护水平，建议复核
C18,乙方逾期支付租金的，每逾期一日按月租金的0.5%支付违约金；逾期超过15日的，甲方有权解除合同并收回房屋。,medium,违约金过高风险,待人工,过度预警,同上，属常见约定,低风险/过度预警,
C18,租赁期满，乙方如需续租，应提前60日向甲方提出，双方另行签订续租合同。,medium,续租条款不公,待人工,过度预警,提前60日属偏早但常见,低风险/过度预警,
C18,房屋及附属设施因自然损耗或质量问题发生故障的，由甲方负责维修并承担费用；因乙方使用不当造成损坏的，由乙方负责修复或赔偿。甲方应在收到报修通知后5日内安排维修。,medium,维修责任救济不足,待人工,过度预警,标准维修条款,低风险/过度预警,
C18,租赁期内乙方使用房屋产生的水费、电费、燃气费、网络费由乙方承担并按时缴纳。供暖费由甲方承担。,low,费用承担不明确,待人工,过度预警,费用分担为行业惯例,低风险/过度预警,
C18,乙方确需提前解除合同的，应提前30日书面通知甲方。,medium,提前退租及押金处理风险,待人工,过度预警,标准提前解除条款,低风险/过度预警,
